link,title
https://finance.yahoo.com/news/cloudera-appoints-chief-diversity-officer-200000169.html,Cloudera Appoints Chief Diversity Officer
https://finance.yahoo.com/news/cloudera-inc-cldr-stock-sinks-215009583.html,"Cloudera, Inc. (CLDR) Stock Sinks As Market Gains: What You Should Know"
https://finance.yahoo.com/news/understanding-clouderas-unusual-options-activity-181132108.html,Understanding Cloudera's Unusual Options Activity
