Date,Open,High,Low,Close,Adj Close,Volume,3day_before_change
2020-08-04,225.19999700000002,229.41000400000001,221.24000499999997,227.67999300000002,227.67999300000002,2595400,1.0642
2020-08-03,218.72000099999997,227.330002,218.330002,226.27999900000003,226.27999900000003,3207100,1.0819
2020-07-31,216.88000499999998,217.69999700000002,210.34599300000002,216.830002,216.830002,3083300,1.1022
2020-07-30,206.110001,215.0,205.0,213.940002,213.940002,4382800,1.09
2020-07-29,198.600006,210.479996,198.600006,209.149994,209.149994,4529500,1.0953
2020-07-28,196.270004,202.110001,195.139999,196.729996,196.729996,2475200,0.9911
2020-07-27,191.649994,197.800003,188.71000700000002,196.270004,196.270004,2341800,0.9622
2020-07-24,193.0,194.740005,186.770004,190.949997,190.949997,3984200,0.9499
2020-07-23,204.0,208.800003,196.610001,198.490005,198.490005,3302400,0.9827
2020-07-22,201.369995,204.5,199.330002,203.979996,203.979996,3011500,1.0385
2020-07-21,203.820007,204.869995,198.292007,201.029999,201.029999,3955600,1.0486
2020-07-20,197.899994,202.91000400000001,196.580002,201.990005,201.990005,4309000,1.0475
2020-07-17,191.100006,196.83999599999999,188.66000400000001,196.41000400000001,196.41000400000001,3102400,0.9999
2020-07-16,190.0,193.5,186.201996,191.720001,191.720001,3771200,1.0089
2020-07-15,193.929993,195.199997,188.33999599999999,192.830002,192.830002,5429600,0.9178
2020-07-14,191.0,196.940002,181.5,196.429993,196.429993,7466200,0.9247
2020-07-13,211.50999500000003,211.839005,185.139999,190.020004,190.020004,9412900,0.9209
2020-07-10,212.52999900000003,213.399994,204.149994,210.11000099999998,210.11000099999998,4808000,1.0625
2020-07-09,211.5,217.0,206.58999599999999,212.419998,212.419998,10243100,1.1141
2020-07-08,200.970001,206.550003,200.279999,206.350006,206.350006,6248700,1.0804
2020-07-07,191.389999,202.649994,189.58500700000002,197.75,197.75,6189500,1.105
2020-07-06,196.449997,199.449997,190.0,190.66000400000001,190.66000400000001,6495700,1.1071
2020-07-02,181.0,199.490005,178.514999,190.990005,190.990005,13225100,1.1125
2020-07-01,171.25,180.380005,170.800003,178.96000700000002,178.96000700000002,3770500,1.0078
2020-06-30,172.358002,174.479996,169.770004,172.21000700000002,172.21000700000002,3462400,1.0226
2020-06-29,176.240005,177.0,166.613007,171.669998,171.669998,5126900,1.0473
2020-06-26,168.770004,180.451004,164.220001,177.580002,177.580002,8570600,1.0646
2020-06-25,165.0,169.800003,161.630005,168.399994,168.399994,3364900,1.0006
2020-06-24,167.41000400000001,172.21000700000002,163.729996,163.91000400000001,163.91000400000001,5546100,1.0154
2020-06-23,170.33999599999999,171.199997,165.389999,166.800003,166.800003,6113700,1.0277
2020-06-22,164.330002,169.850006,163.490005,168.300003,168.300003,5687700,1.0408
2020-06-19,163.070007,165.0,160.0,161.419998,161.419998,14150300,0.99
2020-06-18,161.71000700000002,163.600006,160.41000400000001,162.300003,162.300003,5971900,0.9976
2020-06-17,164.270004,167.867996,160.929993,161.71000700000002,161.71000700000002,6208100,1.0738
2020-06-16,164.940002,165.080002,158.184006,163.050003,163.050003,5554100,1.095
2020-06-15,154.880005,163.699997,152.863007,162.690002,162.690002,8193800,1.0989
2020-06-12,152.059998,155.139999,146.279999,150.600006,150.600006,3983600,1.0612
2020-06-11,145.0,154.0,144.28999299999998,148.899994,148.899994,5593900,1.0161
2020-06-10,144.5,149.940002,143.66000400000001,148.050003,148.050003,4206300,1.0602
2020-06-09,145.41000400000001,146.050003,140.33999599999999,141.919998,141.919998,4231200,1.0133
2020-06-08,136.990005,147.070007,135.419998,146.53999299999998,146.53999299999998,4928400,0.9938
2020-06-05,139.820007,144.949997,131.259995,139.639999,139.639999,8238800,0.9456
2020-06-04,147.75,148.639999,138.53999299999998,140.059998,140.059998,8408800,0.9514
2020-06-03,146.860001,150.570007,145.220001,147.449997,147.449997,4485000,1.0552
2020-06-02,151.970001,152.0,141.029999,147.679993,147.679993,7561700,1.1556
2020-06-01,142.350006,150.580002,140.449005,147.220001,147.220001,6854300,1.1634
2020-05-29,130.029999,141.429993,129.899994,139.740005,139.740005,8932600,1.0837
2020-05-28,126.75,132.130005,126.540001,127.800003,127.800003,4278100,0.9609
2020-05-27,126.650002,127.459999,118.209999,126.540001,126.540001,4472700,0.9525
2020-05-26,136.009995,136.03999299999998,126.5,128.949997,128.949997,4884900,1.0014
2020-05-22,136.169998,136.179993,131.639999,133.0,133.0,2937600,1.0454
2020-05-21,132.0,136.28999299999998,131.080002,132.850006,132.850006,4879000,1.0808
2020-05-20,130.0,134.740005,127.33000200000001,128.770004,128.770004,4327900,1.023
2020-05-19,124.139999,130.360001,123.389999,127.220001,127.220001,2963700,1.0427
2020-05-18,126.779999,128.46000700000002,121.610001,122.91999799999999,122.91999799999999,3901600,1.0323
2020-05-15,121.75,126.279999,121.470001,125.879997,125.879997,2596200,1.0467
2020-05-14,118.300003,123.489998,117.110001,122.010002,122.010002,3045300,1.0113
2020-05-13,121.110001,124.279999,115.57,119.07,119.07,3581100,1.0215
2020-05-12,122.0,123.790001,118.120003,120.260002,120.260002,2618800,1.0218
2020-05-11,117.68,121.839996,117.5,120.650002,120.650002,4238800,1.0447
2020-05-08,118.480003,120.900002,115.660004,116.559998,116.559998,3157300,1.0659
2020-05-07,117.379997,119.538002,115.110001,117.699997,117.699997,3750900,1.0992
2020-05-06,110.879997,116.0,110.879997,115.489998,115.489998,2984200,1.1156
2020-05-05,109.0,111.760002,107.360001,109.349998,109.349998,2006100,1.0439
2020-05-04,103.43,108.959999,103.160004,107.08000200000001,107.08000200000001,2089200,1.0356
2020-05-01,103.190002,105.478996,101.879997,103.519997,103.519997,1431200,0.996
2020-04-30,103.589996,107.849998,103.293999,104.75,104.75,2305400,0.9677
2020-04-29,103.41999799999999,105.41999799999999,100.709999,103.400002,103.400002,3220700,0.9841
2020-04-28,109.519997,111.360001,103.300003,103.940002,103.940002,2910500,1.0171
2020-04-27,106.709999,109.449997,106.199997,108.25,108.25,2462600,1.0635
2020-04-24,103.25,105.440002,100.114998,105.07,105.07,2934000,1.0578
2020-04-23,101.83000200000001,104.300003,100.5,102.190002,102.190002,2624400,1.0038
2020-04-22,100.709999,102.480003,98.25,101.790001,101.790001,2746200,1.0143
2020-04-21,102.25,103.063004,96.550003,99.33000200000001,99.33000200000001,2885500,0.9866
2020-04-20,101.370003,103.449997,100.599998,101.800003,101.800003,2576900,1.0126
2020-04-17,99.43,102.068001,96.790001,100.349998,100.349998,2906300,1.0195
2020-04-16,102.900002,105.150002,99.010002,100.68,100.68,4618800,1.0714
2020-04-15,97.93,101.5,95.91999799999999,100.529999,100.529999,2883500,1.1092
2020-04-14,95.690002,99.650002,95.040001,98.43,98.43,3830300,1.1138
2020-04-13,91.440002,94.959999,90.040001,93.970001,93.970001,3264900,1.0682
2020-04-09,89.0,91.379997,86.129997,90.629997,90.629997,3370500,1.0053
2020-04-08,88.989998,90.650002,85.839996,88.370003,88.370003,2399100,1.1186
2020-04-07,90.910004,91.040001,86.010002,87.970001,87.970001,3167900,1.0468
2020-04-06,81.629997,90.480003,80.550003,90.150002,90.150002,5594100,0.9789
2020-04-03,84.260002,85.93,78.720001,79.0,79.0,4043600,0.855
2020-04-02,92.449997,93.949997,82.609001,84.040001,84.040001,4900900,0.9535
2020-04-01,90.82,95.629997,88.75,92.089996,92.089996,4680800,1.1153
2020-03-31,88.08000200000001,98.379997,87.91999799999999,92.400002,92.400002,7079300,1.1045
2020-03-30,83.980003,89.290001,83.199997,88.139999,88.139999,4910900,1.0832
2020-03-27,83.059998,83.089996,79.739998,82.57,82.57,3329600,0.9714
2020-03-26,82.019997,84.82,81.271004,83.660004,83.660004,3292100,1.0019
2020-03-25,85.0,86.699997,80.25,81.370003,81.370003,2700100,1.021
2020-03-24,88.0,88.269997,84.059998,85.0,85.0,4768400,1.1202
