link,title
https://finance.yahoo.com/m/33bcd445-2e6d-3c1c-8378-7f479159a1f5/the-covid-19-pandemic-can%E2%80%99t.html,The Covid-19 Pandemic Can’t Stop the Solar Boom
https://finance.yahoo.com/news/sunrun-run-earnings-expected-grow-163104869.html,Sunrun (RUN) Earnings Expected to Grow: What to Know Ahead of Next Week's Release
https://finance.yahoo.com/news/sunrun-partners-california-community-energy-130000535.html,Sunrun Partners With California Community Energy Groups to Enhance Resiliency With Local Clean Power
